field_name,dataset,description,unit,type,nullable,source,notes
failed_count,master_applicability.csv,Failed count.,count,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
applicability_rate,master_applicability.csv,Applicability rate.,proportion (0-1),number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
conditional_success_rate,master_applicability.csv,Conditional success rate.,proportion (0-1),number,True,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
unconditional_success_rate,master_applicability.csv,Unconditional success rate.,proportion (0-1),number,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
experiment_step,source_inventory.csv,Dissertation step that produced the frozen source.,not applicable,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
experiment_name,source_inventory.csv,Human-readable frozen experiment identifier.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
source_path,source_inventory.csv,Source path.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
source_hash,source_inventory.csv,SHA-256 digest of the frozen source file.,SHA-256 hex digest,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
row_count,source_inventory.csv,Row count.,count,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
key_columns,source_inventory.csv,Key columns.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
models,source_inventory.csv,Models.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
basis,source_inventory.csv,Gross or ceded reserving basis.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
sensitivity_dimensions,source_inventory.csv,Sensitivity dimensions.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
authoritative_for,source_inventory.csv,Authoritative for.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
purpose,source_inventory.csv,Purpose.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
data_level,source_inventory.csv,Data level.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
notes,source_inventory.csv,Notes.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
model,model_dictionary.csv,Canonical reserving model identifier.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
model_family,model_dictionary.csv,Model family.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
baseline_or_sensitivity,model_dictionary.csv,Baseline or sensitivity.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
description,model_dictionary.csv,Description.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
source_step,model_dictionary.csv,Source step.,not applicable,integer,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
key_assumptions,model_dictionary.csv,Key assumptions.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
check,validation_report.csv,Check.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
passed,validation_report.csv,Passed.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
detail,validation_report.csv,Detail.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
field_name,data_dictionary.csv,Field name.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
dataset,data_dictionary.csv,Dataset.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
description,data_dictionary.csv,Description.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
unit,data_dictionary.csv,Unit.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
type,data_dictionary.csv,Type.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
nullable,data_dictionary.csv,Nullable.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
source,data_dictionary.csv,Source.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
notes,data_dictionary.csv,Notes.,not applicable,string,False,frozen source or documented Step 32 derivation,Null means unavailable or not meaningful; no imputation.
